university|универсальность
table|стол
spoon|ложка
cluster|кластер
insist|настаивать
refuse|отказываться
revise|повторять
devote|посвящать
extinct|вымерший
chase|гнаться
counterpart|коллега
flush|румянец
fossil|ископаемое
crucial|решающий
moisture|влажность
certain|определенный
sail|парус
congestion|скопление
locomotion|передвижение
stress|напряжение
canteen|буфет
hot temper|горячий темперамент
to recharge my batteries|перезарядиться
tax|налог
hectic|беспокойный
to be in charge|быть главным
to charge|взимать плату
to charge with|обвинять
anxiety|беспокойство
anxious to make smth|стремление
to be eager|очень хотеть
dread|ужас
dread to think|страшно подумать
live in dread|жить в страхе
tribe|племя
hatred|ненависть
tend|иметь склонность к чему
tent|палатка
tent to sb/smth|заботиться о ком-то
sneaky|низкий
devastated|опустошенный
frustrated|расстроенный
indispensable|необходимый
conscious|сознательный
diminish|уменьшить
to arrange|договариваться
preserve|keep the same
spot|место
flavour|вкус
evidence|доказательство
boast|хвастаться
sophisticated|изысканный
capture|захват
dash|бросаться
prominent|заметный
precise|точный
obsessed|одержимый
suspicion|подозрение
venture|рискнуть
deadly peril|смертельная опасность
threat|опасность
strike|поражать
smoking gun|неоспоримые доказательства
grave (threat)|серьезный
to be susceptible to diseases|восприимчивый
infant mortality|младенческая смертность
embarrass|смущать
maintain|поддерживать
arise|возникать
consequences|последствия
circumstances|обстоятельства
advances|достижения
breakthrough|прорыв
life expectancy|продолжительность жизни
proliferate|распространяться
safeguards|меры безопасности
offence|обида
comprehension|понимание
disparage|унижать достоинство
preposterous|нелепый
conviction|убеждение
obsolete|устаревший
flattered|польщен
pretend|притворяться
humbled|унижен
pretender|самозванец
threshold|преддверие
blur|размытое пятно
shatter|разбить вдребезги
congeal|заморозить
mush|кашеобразная масса
fuse|merge
release|освободить
vulnerable|уязвимый
embrace (cuddle)|охватывать
flourish|процветать
journey|путешествие
die in vain|умереть зря
gear|механизм
redeem|выкупать
enhance|усилить
bribe|взятка
surgery|хирургия
favor|одолжение
concessions|уступки
domesticated|прирученный
reveals|показывает
severe|серьезный
vomit|рвота
hint|подсказка
overlap|частично совпадать
emerge|появляться
get ahead|вырваться вперед
tough|жесткий
fabric|ткань
utterly|крайне
penalise|наказывать
mislead|вводить в заблуждение
genuine|подлинный
prop up|поддерживать
attendance|посещаемость
compulsory|обязательный
posessing|владеющий
savage|дикарь
cheerful|весёлый
imply|подразумевать
mature|зрелый
immature|незрелый
instill|внушать
shallow|мелкий
distinct|отчетливый
distraction|отвлечение
astounded|пораженный
endangered animal|вымирающее животное
entangle|запутывать
infancy|младенчество
supplement|добавка
assessment|оценка
terrific|потрясающий
mimic|имитировать
breeding|размножение
estimate|оценивать
distinguish|различать
compound|соединение
inevitable|неизбежный
spill|проливать
vital|жизненно важный
to be puzzled|быть озадаченным
affluent society|богатое общество
vow|клятва
social disparity (between rich and poor)|социальное неравенство
undermine|подрывать
conceive|постигать
